JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460187.78970,11.970,0.045,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.743|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.442|KMAGSTD=9.343|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.815,0,1.111,Z,,9.343,,IY CEP,AAVSO,STD,0,,,
2460187.79086,11.173,0.058,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.529|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.008|KMAGSTD=9.155|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-5.990,0,1.111,Z,,9.155,,IY CEP,AAVSO,STD,0,,,
2460187.79227,14.203,0.088,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.638|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.181|KMAGSTD=9.779|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.758,0,1.112,Z,,9.779,,IY CEP,AAVSO,STD,0,,,
2460187.79348,12.811,0.054,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.957|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.458|KMAGSTD=9.514|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.162,0,1.112,Z,,9.514,,IY CEP,AAVSO,STD,0,,,
2460187.79458,11.962,0.046,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.755|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.444|KMAGSTD=9.353|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.835,0,1.113,Z,,9.353,,IY CEP,AAVSO,STD,0,,,
2460187.79572,11.158,0.057,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.572|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.021|KMAGSTD=9.185|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.048,0,1.114,Z,,9.185,,IY CEP,AAVSO,STD,0,,,
2460188.78895,14.238,0.083,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.683|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.208|KMAGSTD=9.798|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.768,0,1.111,Z,,9.798,,IY CEP,AAVSO,STD,0,,,
2460188.79017,12.984,0.058,,V,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-9.035|CREFMAG=10.015|ENSTYPE=1|KMAGINS=-9.497|KMAGSTD=9.553|KREFERR=0.037|KREFMAG=9.502|OBSERVAT=BSM_TX|VMAGINS=-6.066,0,1.112,Z,,9.553,,IY CEP,AAVSO,STD,0,,,
2460188.79130,12.071,0.047,,R,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.808|CREFMAG=11.042|ENSTYPE=1|KMAGINS=-9.502|KMAGSTD=9.349|KREFMAG=0.000|OBSERVAT=BSM_TX|VMAGINS=-6.780,0,1.113,Z,,9.349,,IY CEP,AAVSO,STD,0,,,
2460188.79244,11.214,0.057,,I,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-7.626|CREFMAG=9.634|ENSTYPE=1|KMAGINS=-8.090|KMAGSTD=9.170|KREFERR=0.054|KREFMAG=8.923|OBSERVAT=BSM_TX|VMAGINS=-6.046,0,1.113,Z,,9.170,,IY CEP,AAVSO,STD,0,,,
2460188.79384,14.474,0.091,,B,PEX,,ENSEMBLE,95,X28117QT,|CMAGINS=-8.623|CREFMAG=10.323|ENSTYPE=1|KMAGINS=-9.160|KMAGSTD=9.786|KREFERR=0.057|KREFMAG=9.765|OBSERVAT=BSM_TX|VMAGINS=-4.472,0,1.114,Z,,9.786,,IY CEP,AAVSO,STD,0,,,
